Corporate-Credit-Rating,Name STRING,Symbol STRING,Rating_Agency_Name STRING,Date STRING,Sector STRING,currentRatio REAL,quickRatio REAL,cashRatio REAL,daysOfSalesOutstanding REAL,netProfitMargin REAL,pretaxProfitMargin REAL,grossProfitMargin REAL,operatingProfitMargin REAL,returnOnAssets REAL,returnOnCapitalEmployed REAL,returnOnEquity REAL,assetTurnover REAL,fixedAssetTurnover REAL,debtEquityRatio REAL,debtRatio REAL,effectiveTaxRate REAL,freeCashFlowOperatingCashFlowRatio REAL,freeCashFlowPerShare REAL,cashPerShare REAL,companyEquityMultiplier REAL,ebitPerRevenue REAL,enterpriseValueMultiple REAL,operatingCashFlowPerShare REAL,operatingCashFlowSalesRatio REAL,payablesTurnover REAL,
BB,"Holly Energy Partners, L.P.",HEP,Standard  Poor\s Ratings Services,7/12/2016,Energy,0.879786823,2.735954275,0.056491851,7.123093798,0.393592228,0.392681877,0.691610101,0.485264014,0.083981474,0.086768248,0.335404872,0.213371779,0.302653202,2.993795982,0.749611647,-0.001805226,-0.307940745,-1.248530198,2.827131213,3.993795982,0.392681877,12.924382,4.054449492,0.603786162,4.601959765,
BB,Crown Castle International Corporation,CCI,Fitch Ratings,10/3/2012,Consumer Services,1.277468013,0.51233421,0.356554629,28.93271824,0.077521088,0.104954207,0.921999605,0.343111712,0.011721512,0.017192281,0.064171589,0.151204177,0.351668825,4.474685121,0.817341093,-0.391904277,0.428672577,1.144801839,1.525706483,5.474685121,0.104954207,20.2293442,2.670574001,0.317574445,1.635789964,
BB,Albemarle Corporation,ALB,Egan-Jones Ratings Company,9/15/2015,Basic Industries,1.132566332,0.773758648,0.132205099,55.26258752,0.091721521,0.098097545,0.327790247,0.12117075,0.034831567,0.044782729,0.10290893,0.379753477,1.469505034,1.954473217,0.661530186,0.0813039,0.368849618,1.196596571,6.278858089,2.954473217,0.098097545,13.50997419,3.244131244,0.098782774,8.007591749,
AA,"Walgreens Boots Alliance,Inc.",WBA,Egan-Jones Ratings Company,8/15/2013,Health Care,1.336710571,0.533378363,0.237082067,13.30268496,0.035282551,0.056039437,0.292438069,0.056385616,0.071813083,0.158357771,0.130975635,2.035371044,5.949662218,0.823840855,0.451706547,0.370397826,0.718205069,3.26877034,2.22856275,1.823840855,0.058324217,9.78747916,4.551305028,0.059556614,11.02437972,
BBB,"Valmont Industries,Inc.",VMI,Standard  Poor\s Ratings Services,8/28/2015,Capital Goods,3.346988438,0.95231262,0.95231262,0,0.015318123,0.03551344,0.237132884,0.050285919,0.016719401,0.045751483,0.043679452,1.091478469,4.918268734,1.612500966,0.617225022,0.50992936,0.833002163,9.738878392,14.98943662,2.612500966,0.03551344,12.30158904,11.69130024,0.103961398,11.10044282,
B,Fiat Chrysler Automobiles N.V.,FCAU,Moody\s Investors Service,5/10/2016,Capital Goods,0.928171115,0.583924683,0.416538989,23.30033003,0.003020028,0.004521,0.117319951,0.022442244,0.003158303,0.051042761,0.019875037,1.045785935,4.028374736,5.283249033,0.839550651,0.332,0.095579941,0.550222155,12.93199175,6.292948527,0.025914372,2.866120787,5.756669782,0.088168543,4.547868623,
CCC,Uniti GroupInc.,UNIT,Moody\s Investors Service,12/12/2016,Consumer Services,0.524030864,0.524030864,0.481216869,7.239754779,-0.000275179,0.000395894,1,0.000395894,-6.39E-05,0.000102977,0.000151165,0.232137864,0.288538324,-3.366404387,1.422582043,1.695081967,0.876477441,2.161333482,1.126455176,-2.366404387,0.000395894,20.15358433,2.465931673,0.488037507,0,
AA,3M Company,MMM,Egan-Jones Ratings Company,1/28/2015,Health Care,1.961487162,1.12720907,0.316272091,48.61160869,0.155746205,0.220797586,0.483140065,0.224222997,0.158495635,0.278026196,0.378060874,1.017653267,3.748498056,1.385307804,0.580766894,0.288642186,0.774675521,7.906654344,3.886321627,2.385307804,0.220797586,12.91175934,10.20640789,0.208227271,9.101826231,
BB,Kinross Gold Corporation,KGC,Moody\s Investors Service,3/16/2015,Basic Industries,4.280443415,1.977498345,1.69556585,17.94305167,-0.359980383,-0.328332804,-0.182038485,-0.358509073,-0.139397189,-0.126752127,-0.257650217,0.387235516,0.640791955,0.83824076,0.453515651,-0.096388718,0.423710945,0.386644353,0.896252279,1.848317159,-0.305224591,-24.6007708,0.912519153,0.301012607,9.71154302,
BB,Louisiana-Pacific Corporation,LPX,Standard  Poor\s Ratings Services,9/7/2016,Basic Industries,4.442744755,2.999562937,2.881555944,3.628100654,0.067072625,0.073833617,0.228082744,0.091340557,0.073749508,0.091489126,0.125282261,1.099547066,2.528759058,0.698753868,0.411333202,0.121285628,0.635407537,1.516736402,4.631101813,1.698753868,0.073833617,7.686647727,2.387029289,0.153264082,7.737881508,
AA,Hormel Foods Corporation,HRL,Egan-Jones Ratings Company,3/21/2014,Consumer Non-Durables,2.611466195,1.264781399,0.553582931,23.00108071,0.060127034,0.091240696,0.16143417,0.091240696,0.107043093,0.193255549,0.158926198,1.780282269,9.160841298,0.484693631,0.326460369,0.33616612,0.832610281,2.009114056,1.665046138,1.484693631,0.091240696,6.235759473,2.413030566,0.072878224,18.94949959,
BBB,HollyFrontier Corporation,HFC,Egan-Jones Ratings Company,4/1/2015,Energy,2.223902292,1.304136237,0.453878567,10.89413897,0.014232309,0.023653727,0.108198169,0.026084065,0.030473727,0.058589562,0.050925631,2.141165401,5.384584389,0.671132366,0.401603356,0.301972193,0.360658374,1.38709105,5.283305364,1.671132366,0.023653727,8.615023705,3.84599707,0.038382081,15.90583754,
BB,NorbordInc.,OSB,Standard  Poor\s Ratings Services,11/18/2015,Basic Industries,1.660098522,0.709359606,0.044334975,32.65407555,-0.037110669,-0.055003313,0.08813784,0.020543406,-0.034250765,-0.019553073,-0.107899807,0.92293578,1.197619048,2.150289017,0.682568807,0.325301205,-1.833333333,-0.514957762,0.105332269,3.150289017,-0.018555335,38.27083369,0.280886052,0.015904573,6.845771144,
A,eBayInc.,EBAY,Egan-Jones Ratings Company,7/21/2015,Miscellaneous,3.492708794,2.98276624,0.809544852,26.295973,0.200768156,0.280027933,0.793878026,0.25570298,0.096991847,0.155005798,0.262317518,0.483103739,5.528957529,1.70453163,0.630250211,0.190773067,0.834366477,2.785596026,5.075331126,2.70453163,0.280027933,11.54184466,3.338576159,0.46939013,5.074498567,
BB,Booz Allen Hamilton Holding Corporation,BAH,Moody\s Investors Service,6/20/2016,Consumer Services,1.370101555,1.253868696,0.244073574,59.32356292,0.044090832,0.073163,0.50825363,0.086984267,0.080823481,0.19024806,1.24703214,1.833113061,47.36385105,14.42908235,0.935187331,0.397361616,0.883722956,0.001883703,0.001425013,15.42908235,0.073163,7504.366114,0.002131554,0.058762373,5.38349574,
BBB,MPLX LP,MPLX,Fitch Ratings,9/14/2016,Energy,1.051136364,0.927556818,0.332386364,41.85521236,0.08996139,0.094980695,0.863320463,0.094980695,0.013997357,0.015430937,0.022619163,0.155592935,0.24137931,0.615959616,0.381172654,-0.048780488,0.063664596,0.24260355,1.053254438,1.615959616,0.094980695,20.11121718,3.810650888,0.497297297,2.87804878,
BBB,EPR Properties,EPR,Standard  Poor\s Ratings Services,8/19/2015,Consumer Services,0.190268064,-0.027959055,0.012856843,51.23751535,0.462052601,0.403824549,0.944341915,0.403824549,0.046127471,0.043772109,0.093801534,0.099831645,3.537957983,1.033528653,0.508243959,0.002835011,0.354234001,1.696652792,-1.176769067,2.033528653,0.403824549,21.40208196,4.789638446,0.661398471,0.254214672,
BBB,"Oceaneering International,Inc.",OII,Standard  Poor\s Ratings Services,11/14/2014,Energy,2.523128618,1.828364527,0.634207826,77.63250542,0.117041805,0.081392241,0.234778491,0.171692502,0.121971945,0.105157377,0.258399995,1.042122891,2.802544298,1.118519926,0.527972342,0.655155859,0.463974274,3.141660334,4.346795756,2.118519926,0.081392241,6.876160814,6.771195107,0.197222993,22.64102419,
BB,"QEP Resources,Inc.",QEP,Standard  Poor\s Ratings Services,12/9/2013,Energy,0.809041309,0.716134061,0.018550273,196.9389777,0.210540219,0.148064985,-0.011623299,0.507991018,0.016999403,0.012832988,0.04720725,0.080741831,0.086859254,1.77699461,0.639898473,1.068688671,-0.344801544,-2.29296875,0.284040179,2.77699461,0.148064985,6.126132196,6.650111607,1.574032492,1.761094504,
BBB,"CSG Systems International,Inc.",CSGS,Standard  Poor\s Ratings Services,2/4/2015,Technology,2.264455569,1.260169455,0.386991054,119.718213,0.065750593,0.125842141,0.3073532,0.134653599,0.042989178,0.109064249,0.100507719,0.653821906,14.66651881,1.337977227,0.572279837,0.347244017,0.622419337,1.604548676,2.51816697,2.337977227,0.125842141,7.511296589,2.577922278,0.148816333,10.50801576,
BB,"Foot Locker,Inc.",FL,Standard  Poor\s Ratings Services,9/25/2015,Consumer Services,3.528735632,1.397988506,1.389367816,0,0.072717103,0.09145574,0.331981541,0.072717103,0.145373218,0.227004512,0.208333333,1.999161308,11.53387097,0.433092949,0.302208555,0.441896024,0.733146067,3.65034965,6.804195804,1.433092949,0.09145574,10.92242792,4.979020979,0.099566494,15.87043189,
CCC,Oasis PetroleumInc.,OAS,Moody\s Investors Service,3/11/2016,Energy,0.985746206,0.663635284,0.026256989,48.80426981,-0.055770489,-0.078111663,1,-0.15819375,-0.007124328,-0.010678739,-0.017353198,0.127743688,0.138297917,1.435766265,0.589451577,0.286015859,1,2.763853256,1.14779623,2.435766265,-0.078111663,7.812738065,2.763853256,0.49858523,0,
BB,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SAIC,Standard  Poor\s Ratings Services,4/22/2016,Technology,1.634315425,1.500866551,0.521663778,51.10939511,0.036293436,0.057400257,0.086229086,0.061776062,0.100858369,0.271619976,0.408695652,2.778969957,65.84745763,3.052173913,0.753218884,0.367713004,0.920577617,5.443617117,6.87390083,4.052173913,0.057400257,10.53418346,5.913262515,0.071299871,11.26984127,
BBB,Albany International Corporation,AIN,Egan-Jones Ratings Company,6/2/2015,Basic Industries,2.508915037,1.843198944,0.980392371,77.48962561,0.056012987,0.090562089,0.391275181,0.095740899,0.040560418,0.0797961,0.081881817,0.724125234,1.886409711,1.011506877,0.501053139,0.381496296,1.022744548,1.299430664,2.713244908,2.018761682,0.090562089,16.66947649,1.270532965,0.112962454,13.04251588,
B,"CoreLogic,Inc.",CLGX,Standard  Poor\s Ratings Services,7/20/2016,Technology,0.586287684,0.571599336,0.107762922,50.32815175,0.05456947,0.08397911,1,0.140630466,0.027267837,0.050623118,0.106233001,0.499690342,4.346752775,2.895908609,0.743320468,0.332516131,0.804821078,3.803810199,1.289570524,3.895908609,0.08397911,10.19332415,4.726280542,0.211803804,6.203423974,
BBB,"Mohawk Industries,Inc.",MHK,Standard  Poor\s Ratings Services,8/10/2016,Consumer Durables,1.277079961,0.649496748,0.044757424,56.47915798,0.103845626,0.138532531,0.313963354,0.142865339,0.090939179,0.165212913,0.161061178,0.875715061,2.658208292,0.77108678,0.435374928,0.247806627,0.493711362,8.844704739,5.117591493,1.77108678,0.138532531,10.86549022,17.91472795,0.148179496,4.601935336,
CCC,Brookdale Senior LivingInc.,BKD,Egan-Jones Ratings Company,5/22/2015,Health Care,0.700405121,0.645662492,0.118577701,14.26295493,-0.038883463,-0.086314294,1,-0.022158537,-0.014160713,-0.034295384,-0.05170169,0.364183424,0.456726112,2.651065473,0.726107349,0.548194756,-0.253832649,-0.415649357,2.814103992,3.651065473,-0.086314294,17.7815106,1.637493673,0.063327406,0,
B,Zebra Technologies Corporation,ZBRA,Standard  Poor\s Ratings Services,9/26/2016,Technology,1.287671233,0.822971549,0.164383562,63.82904309,-0.038332401,-0.036094012,0.459429211,0.022383884,-0.029576857,-0.035025794,-0.172979798,0.771588946,12.23972603,4.848484848,0.829015544,-0.062015504,0.793010753,5.7193695,3.024480142,5.848484848,-0.036094012,16.82900094,7.212221878,0.104085059,4.677966102,
BBB,Canadian Pacific Railway Limited,CP,Standard  Poor\s Ratings Services,3/12/2014,Transportation,1.472423803,1.064586357,0.643686502,34.51818034,0.142670797,0.183433882,0.619272787,0.231534323,0.051289566,0.089465629,0.123291532,0.359495897,0.460193592,1.403832605,0.583997655,0.222222222,0.403589744,4.524554027,5.099465594,2.403832605,0.228762433,15.56383079,11.21077554,0.317952063,1.963835156,
B,"Commercial Vehicle Group,Inc.",CVGI,Standard  Poor\s Ratings Services,4/8/2011,Capital Goods,2.217429153,1.402177333,0.44669939,55.62568274,0.010851837,0.007798869,0.125124837,0.027963512,0.022665413,0.024426153,-57.91964286,2.088624667,10.07702163,-2556.419643,1.000391325,-0.391462891,0.424870466,0.284299158,1.622699737,-2555.419643,0.007798869,19.17779349,0.66914314,0.029380423,8.543223994,
BBB,Edgewell Personal Care,EPC,Standard  Poor\s Ratings Services,6/20/2014,Consumer Non-Durables,2.226807699,1.282209121,0.865528004,39.27877295,0.091133005,0.055373936,0.471182266,0.091133005,0.060588918,0.044446441,0.165878709,0.664840563,5.910534674,1.737773068,0.634739631,0.650626769,0.8792,10.61835749,16.07568438,2.737773068,0.055373936,10.17421396,12.07729469,0.167935513,6.938014101,
BBB,"CF Industries Holdings,Inc.",CF,Standard  Poor\s Ratings Services,8/6/2015,Basic Industries,0.927501646,0.699473338,0.235352205,22.62029107,0.162453868,0.245479656,0.359097556,0.276930576,0.054941949,0.091776079,0.173448652,0.338200316,0.504543858,2.156943894,0.683237956,0.37424357,-1.051424774,-5.378665533,2.477688058,3.156943894,0.245479656,7.470676152,5.11559711,0.279390943,3.008826414,
BBB,"Delta Air Lines,Inc.",DAL,Fitch Ratings,9/14/2015,Transportation,0.516718019,0.196108639,0.112518544,0,0.111193003,0.175830385,1,0.191676494,0.085180863,0.200994159,0.417142857,0.766063161,1.766743348,3.897142857,0.7957993,0.367612128,0.628484925,6.250941029,4.312421581,4.897142857,0.175830385,4.322520494,9.946047679,0.194747445,2.385709078,
BB,New GoldInc.,NGD,Standard  Poor\s Ratings Services,11/25/2014,Basic Industries,6.048617731,3.863679695,3.531935176,17.49586777,-0.657162534,-0.564049587,0.134022039,-0.528787879,-0.122906899,-0.101352961,-0.210065164,0.187026637,0.241300229,0.709140542,0.414910608,-0.165079365,-0.0390625,-0.020856197,0.735925811,1.709140542,-0.527272727,-16.99769606,0.533918645,0.370247934,6.481443299,
BBB,IntuitInc.,INTU,Standard  Poor\s Ratings Services,2/3/2016,Technology,1.467889908,1.025229358,0.463302752,7.923425573,0.087070611,0.169847328,0.966841603,0.176049618,0.073470209,0.220843672,0.15651801,0.843800322,6.146627566,1.130360206,0.530595813,0.41994382,0.905585106,4.846975089,6.039145907,2.130360206,0.169847328,24.83695562,5.352313167,0.358778626,0.731578947,
BB,"Trinity Industries,Inc.",TRN,Standard  Poor\s Ratings Services,5/29/2015,Capital Goods,8.248476642,4.63168585,3.005754909,23.97641815,0.109918963,0.172463533,0.251247974,0.202755267,0.077652339,0.126102105,0.226376047,0.7064508,1.258438883,1.915250843,0.656976345,0.333427309,0.732299805,3.972847682,6.376821192,2.915250843,0.172463533,2.095236847,5.425165563,0.132771475,15.63913338,
BBB,Babcock,BW,Standard  Poor\s Ratings Services,9/23/2016,Capital Goods,1.25908689,1.045717025,0.155273036,65.29751695,-0.073276127,-0.068517731,-0.113489957,-0.065117791,-0.075629944,-0.118624843,-0.209452521,1.032122568,11.81007505,1.769439046,0.638916046,-0.064204404,-8.876814782,-0.402501546,7.24975563,2.769439046,-0.068517731,-133.9018516,0.045343015,0.001440191,6.338520502,
A,Chemed Corp.,CHE,Egan-Jones Ratings Company,5/20/2015,Health Care,0.99436071,1.070246192,0.080499447,31.23128281,0.068199016,0.111759948,0.289510548,0.115649991,0.115494016,0.237813021,0.220041386,1.693485066,13.82511202,0.90521894,0.47512594,0.389772294,0.604902112,3.886280221,3.686513254,1.90521894,0.111759948,9.087770102,6.424643169,0.075726405,22.08527397,
BB,NCR Corporation,NCR,Standard  Poor\s Ratings Services,4/3/2015,Miscellaneous,1.49178744,0.925120773,0.246859903,77.75147929,0.028978911,0.02078592,0.673342437,0.053557882,0.02219124,0.020957626,0.102084447,0.765772046,16.64393939,3.600213789,0.782618799,-0.350364964,0.77480916,2.418106015,3.043478261,4.600213789,0.02078592,11.63682889,3.120905301,0.079502352,3.023876404,
BBB,International Game Technology,IGT,Egan-Jones Ratings Company,8/1/2014,Consumer Services,0.586265585,0.4498527,0.142238976,88.04533261,0.022600989,0.085663263,0.340427106,0.187563659,0.01021446,0.108118823,0.033528197,0.451947454,3.150753574,2.135379403,0.650549352,0.73616474,0.685508157,3.679280629,2.141136991,3.282424916,0.154445689,5.593078931,5.367230994,0.279596811,2.026125732,
BB,"Nuance Communications,Inc.",NUAN,Standard  Poor\s Ratings Services,11/30/2015,Technology,1.666603872,1.452540295,0.765423446,70.53057371,-0.059555619,-0.041670809,0.570263824,0.028433523,-0.020591387,-0.016227593,-0.050771393,0.345750531,10.38206089,1.465661657,0.59442935,-0.429192763,0.880964443,1.354889789,1.692866245,2.465661657,-0.041670809,24.59839876,1.537961947,0.252481959,14.66709673,
BB,"NRG Energy,Inc.",NRG,Standard  Poor\s Ratings Services,9/11/2012,Public Utilities,1.701090443,0.801582211,0.446226213,42.73213014,0.066373783,0.029921634,0.277250059,0.041557825,0.015913232,0.00827559,0.0530713,0.239751765,0.415531873,2.335042248,0.700153724,-1.297619048,-1.956483899,-9.689655172,11.90948276,3.335042248,0.029921634,12.74968338,4.952586207,0.136428402,5.202564103,
BB,Teleflex Incorporated,TFX,Standard  Poor\s Ratings Services,5/16/2014,Health Care,1.890279002,1.147797267,0.680161229,63.53987659,0.088948641,0.103597833,0.494581939,0.137513994,0.035847173,0.049170553,0.078849684,0.403009784,5.204881866,1.199606799,0.545373291,0.133995334,0.723410087,4.045517577,10.55100353,2.199606799,0.103597833,13.86568292,5.592288043,0.135515493,11.91276557,
BB,The AES Corporation,AES,Fitch Ratings,6/15/2012,Basic Industries,1.092588207,0.664574947,0.202462704,53.81816603,0.003357647,0.126143337,0.239319208,0.126143337,0.001279421,0.059072302,0.009754457,0.381046919,0.671330302,6.624117053,0.868837271,0.291877008,0.15742025,0.583547558,3.940874036,7.624117053,0.126143337,2.385789015,3.706940874,0.166956119,6.504950495,
BB,Terex Corporation,TEX,Egan-Jones Ratings Company,5/8/2015,Capital Goods,2.042602398,0.291035238,0.291035238,0,0.043645419,0.040662754,0.198867135,0.057888328,0.053812416,0.069359845,0.159030859,1.232945344,10.58800522,1.955281918,0.661622807,0.126850606,0.805210616,3.014585232,4.359161349,2.955281918,0.040662754,6.524975812,3.743846855,0.056191766,7.95462573,
BB,AMC NetworksInc.,AMCX,Moody\s Investors Service,6/15/2012,Consumer Services,2.527626701,1.460348174,0.627072947,88.13844938,0.106465972,0.177319803,0.641368783,0.274905051,0.057901933,0.114478257,-0.121942729,0.543853889,18.61254584,-3.106021726,1.47482891,0.400018992,0.939776596,3.4620614,3.115280805,-2.106021726,0.177319803,3.620281161,3.683919576,0.214889441,6.914390066,
CCC,Natural Resource Partners LP,NRP,Standard  Poor\s Ratings Services,6/1/2016,Energy,0.886437317,2.662934422,0.378881351,37.45728231,-1.169522695,-1.172985932,0.268984901,-0.977624993,-0.339486068,-0.370558759,-7.489520017,0.290277452,7.982641781,21.0613472,0.954671853,0,0.94998132,15.80122649,25.65126738,22.0613472,-1.172985932,-3.858993909,16.63319706,0.416128498,18.4239811,
A,Boeing Company (The),BA,Moody\s Investors Service,6/15/2012,Capital Goods,1.206813006,0.409095314,0.243470466,30.76227541,0.09856696,0.078460755,1.678577144,0.004044519,0.084702323,0.139310808,1.92745377,0.859337884,7.380543327,22.75561878,1,-0.256258112,0.574198359,3.104421449,14.90659858,22.75561878,0.078460755,33.14377867,5.40653138,0.058529134,-5.548655722,
A,ManpowerGroup,MAN,Egan-Jones Ratings Company,7/23/2014,Technology,1.491731863,1.432462067,0.207207207,72.68251392,0.020594525,0.032827942,0.168002389,0.034672588,0.059533589,0.178986896,0.145293918,2.890748347,139.2541918,1.440536867,0.59025409,0.372652582,0.831809275,3.203773585,8.794968553,2.440536867,0.032827942,6.922807018,3.851572327,0.014747529,11.20272374,
B,Great Lakes Dredge  Dock Corporation,GLDD,Standard  Poor\s Ratings Services,10/23/2015,Basic Industries,1.603058,1.138023239,0.068958141,55.70641912,-0.007222732,-0.010136799,0.111944758,0.026793779,-0.006864273,-0.012481051,-0.024542675,0.95037072,1.991766812,2.575422428,0.720312769,0.287474096,-1.556658197,-750.4221155,1710.031452,3.575422428,-0.010136799,0.530526081,482.0725046,0.033986168,6.402865894,
BBB,Keysight TechnologiesInc.,KEYS,Standard  Poor\s Ratings Services,9/27/2016,Capital Goods,2.878881988,1.939440994,1.215838509,54.66244003,0.114804661,0.125428376,0.556545579,0.139136395,0.088088351,0.115859449,0.221414408,0.767288982,5.69921875,1.51354924,0.602156192,0.084699454,0.78125,1.911764706,4.776470588,2.51354924,0.125428376,12.27611111,2.447058824,0.1425634,6.846560847,
B,"Netflix,Inc.",NFLX,Standard  Poor\s Ratings Services,10/24/2016,Consumer Services,1.247159096,0.378005593,0.319966372,0,0.021139735,0.029500256,0.317163739,0.043008406,0.013739851,0.028945373,0.069661169,0.649953815,35.26695421,4.070008956,0.80276169,0.283405052,1.073035393,-3.68832989,4.043127451,5.070008956,0.029500256,11.77335776,-3.437286333,-0.166916459,19.27458909,
BB,"Triumph Group,Inc.",TGI,Standard  Poor\s Ratings Services,12/5/2013,Capital Goods,2.208426407,0.63273825,0.04350353,42.77497622,0.080305409,0.125059214,0.253656384,0.143466312,0.057364081,0.104126031,0.145390723,0.714323995,4.540139881,1.53452545,0.605448823,0.357860911,1,6.461913296,0.645087892,2.53452545,0.125059214,6.087760173,6.461913296,0.086671301,8.434680161,
BBB,"Ryder System,Inc.",R,Standard  Poor\s Ratings Services,8/10/2012,Consumer Services,0.817369064,0.052167695,0.052167695,0,0.032108049,0.048444718,0.200339398,0.001451182,0.024149478,0.04301781,0.13690002,0.752131602,10.01350238,4.66886044,0.823597704,0.337222921,-0.880953934,-19.54467798,1.298764863,5.66886044,0.048444718,3.629267852,22.18581156,0.181257788,12.54050924,
BB,Wabash National Corporation,WNC,Standard  Poor\s Ratings Services,7/15/2015,Capital Goods,2.508596389,1.571355477,0.847335333,27.51223804,0.051437517,0.080548402,0.149664437,0.088961765,0.109763337,0.220974523,0.237122309,2.133915923,14.43689742,1.160305222,0.537102447,0.361408601,0.841822527,1650.987336,2661.463371,2.160305222,0.080548402,0.617502842,1961.205934,0.065004052,21.65397272,
B,"CEVA,Inc.",CEVA,Moody\s Investors Service,4/4/2014,Technology,10.27086125,6.927417648,1.701135642,42.01605317,0.136707566,-0.088241309,0.894417178,0.097321063,0.031484456,-0.021776432,0.035019251,0.230305143,30.25990099,0.112271144,0.100938647,-0.182618772,0.934777851,0.58217093,4.206506429,1.112271144,-0.088241309,65.19246823,0.622790677,0.280306748,1.747208122,
